Modelo,R² Score,RMSE,MAE,MAPE (%)
Gradient Boosting,0.27403236804066344,144.27635640309347,93.82634425138774,56.51084716597467
Random Forest,0.2483276337350282,146.80837428846075,96.21465853561354,57.77449864960542
Linear Regression,0.11852107592535654,158.9800040124457,106.4587531859098,72.56565006840208
